QuoteDate,ExpirationDate,SalesPersonID,CustomerID,ProductID,ProductGroupID,QuoteQty,UnitPrice,UOM,UnitSize,QuoteStatus,OrderNumber,CustomerTier,InvoiceNumber,UnitCost,PercentProfit
2024-12-23,2025-01-17,SREP1,CUST1,TXD-476-GT7,PROD.Group1,24.0,37.77791666666666,EA,1.0,Won,2007359.0,4320717.807058823,2006361.0,28.015833333333333,0.3484487938368183
2024-12-31,2025-01-14,SREP1,CUST1,TXD-476-GT7,PROD.Group1,24.0,37.77791666666666,EA,1.0,Won,2007636.0,4320717.807058823,2006694.0,28.150033333333333,0.34202031732348437
2024-12-10,2025-01-07,SREP1,CUST7,OMI-853-QX1,PROD.Group3,20.0,7.333499999999999,EA,1.0,Won,2005269.0,4320717.807058823,2004262.0,5.651933333333333,0.2975206124158104
2025-01-08,2025-01-06,SREP1,CUST1,EMA-955-PL5,PROD.Group11,900.0,0.9873,EA,1.0,Won,2006614.0,4320717.807058823,2005559.0,0.7991444444444444,0.23544624111897441
2024-12-21,2025-01-09,SREP1,CUST1,EMA-955-PL5,PROD.Group11,900.0,0.9873,EA,1.0,Won,2007418.0,4320717.807058823,2006445.0,0.7991444444444444,0.23544624111897441
2024-04-12,2024-04-14,SREP8,CUST16,APR-797-HB1,PROD.Group16,2.0,119.0,EA,1.0,Won,1945206.0,4320717.807058823,1941414.0,99.8,0.19238476953907818
2024-06-13,2024-06-04,SREP8,CUST16,APR-797-HB1,PROD.Group16,2.0,119.0,EA,1.0,Won,1958889.0,4320717.807058823,1955402.0,99.8,0.19238476953907818
2024-12-05,2024-12-15,SREP2,CUST2,HJX-481-ZN3,PROD.Group3,3.0,9.633333333333333,EA,1.0,Won,2003302.0,4320717.807058823,2004021.0,8.096666666666666,0.18979003705228495
2024-12-10,2024-12-20,SREP2,CUST2,HJX-481-ZN3,PROD.Group3,4.0,9.635,EA,1.0,Won,2003528.0,4320717.807058823,2004614.0,8.095,0.19024088943792453
2024-12-20,2025-01-09,SREP4,CUST10,HNS-834-HT9,PROD.Group12,180.0,0.8917777777777778,EA,1.0,Won,2006103.0,4320717.807058823,2005017.0,0.6961111111111111,0.28108539505187546
2024-12-25,2025-01-04,SREP1,CUST32,BTE-769-WP4,PROD.Group13,300.0,0.68,EA,1.0,Won,2006278.0,135861.51845794392,2005601.0,0.5740000000000001,0.18466898954703828
2024-12-18,2025-01-02,SREP10,CUST40,VLK-812-SO8,PROD.Group12,400.0,2.3077,EA,1.0,Won,2005073.0,135861.51845794392,2003971.0,1.8044,0.27892928397251165
2024-12-19,2025-01-01,SREP5,CUST65,JUQ-132-WZ0,PROD.Group24,1.0,33.31,EA,1.0,Won,2004534.0,135861.51845794392,2004210.0,28.27,0.17828086310576594
2024-12-15,2024-12-30,SREP5,CUST68,JAX-951-EW8,PROD.Group22,1.0,30.57,EA,1.0,Won,2004367.0,135861.51845794392,2003230.0,23.32,0.3108919382504288
2024-03-29,2024-04-07,SREP10,CUST70,BIL-967-ST9,PROD.Group18,1000.0,0.9486,EA,1.0,Won,1941660.0,135861.51845794392,1939857.0,0.71,0.3360563380281691
2024-04-15,2024-04-24,SREP10,CUST70,BIL-967-ST9,PROD.Group18,1000.0,0.9486,EA,1.0,Won,1947602.0,135861.51845794392,1944404.0,0.71,0.3360563380281691
2024-04-21,2024-05-01,SREP10,CUST70,BIL-967-ST9,PROD.Group18,600.0,0.9486,EA,1.0,Won,1948924.0,135861.51845794392,1946219.0,0.71,0.3360563380281691
2024-11-08,2024-11-27,SREP5,CUST64,IBI-573-MU9,PROD.Group24,12.0,14.8,EA,1.0,Won,1998758.0,135861.51845794392,2003070.0,11.5925,0.2766875134785423
