CustomerTier,PercentProfit,Actual Status,Predicted Status,Confidence (%)
4320717.807058823,0.2661691542288545,Won,Won,100.0
4320717.807058823,0.3666329966329965,Won,Won,92.57142857142857
135861.51845794392,0.33288144342204273,Won,Won,98.0
4320717.807058823,0.3330737279335409,Won,Won,100.0
4320717.807058823,0.1878867601373515,Won,Won,100.0
4320717.807058823,0.3233783089672926,Lost,Lost,99.0
4320717.807058823,0.3221925311250704,Lost,Lost,97.0
135861.51845794392,0.3479119036752899,Lost,Won,82.0
4320717.807058823,0.3644921010785922,Lost,Lost,98.0
4320717.807058823,0.3026217627624427,Won,Won,74.0
4320717.807058823,0.2500000000000001,Won,Won,100.0
4320717.807058823,0.3448870410816556,Lost,Lost,100.0
4320717.807058823,0.183651875696453,Lost,Won,74.0
4320717.807058823,0.3670936968843864,Lost,Lost,79.0
135861.51845794392,0.33409843016224244,Won,Won,85.0
4320717.807058823,0.2240222549500883,Won,Won,100.0
4320717.807058823,0.183334502388496,Lost,Lost,100.0
4320717.807058823,0.3173696708298748,Lost,Lost,100.0
4320717.807058823,0.3193597560975609,Won,Won,100.0
4320717.807058823,0.2044625328836593,Lost,Lost,100.0
4320717.807058823,0.1899991495875498,Won,Won,100.0
4320717.807058823,0.2288483050846363,Lost,Lost,100.0
135861.51845794392,0.2675453687948724,Lost,Won,67.0
4320717.807058823,0.3333072100313478,Won,Won,100.0
4320717.807058823,0.2166005525830916,Won,Won,100.0
4320717.807058823,0.3246392220170903,Lost,Won,100.0
4320717.807058823,0.32910019603248,Won,Won,71.0
4320717.807058823,0.3355804011838214,Won,Won,100.0
4320717.807058823,0.2235437759163909,Lost,Lost,73.0
4320717.807058823,0.2443553774215096,Won,Won,100.0
4320717.807058823,0.3018442112880885,Lost,Lost,65.0
4320717.807058823,0.1710074097252052,Lost,Won,93.0
4320717.807058823,0.2669919552164197,Lost,Won,87.0
135861.51845794392,0.26383197350488974,Won,Won,64.0
