CustomerTier,PercentProfit,Actual Status,Predicted Status,Confidence (%)
6655972.81857143,0.3353125,Converted,Converted,84.0
6655972.81857143,0.2795992620693084,Not Converted,Not Converted,100.0
6655972.81857143,0.3216145833333332,Converted,Converted,100.0
6655972.81857143,0.3676992518795649,Not Converted,Not Converted,99.0
6655972.81857143,0.1900687333426847,Converted,Converted,100.0
6655972.81857143,0.3629013058115412,Not Converted,Not Converted,100.0
6655972.81857143,0.3101791774935306,Not Converted,Not Converted,67.0
6655972.81857143,0.1781305114638447,Converted,Converted,100.0
6655972.81857143,0.2863419293218738,Not Converted,Not Converted,100.0
6655972.81857143,0.3061897910592188,Not Converted,Not Converted,100.0
6655972.81857143,0.2725738396624473,Converted,Converted,100.0
6655972.81857143,0.351359516616314,Converted,Converted,100.0
6655972.81857143,0.1761006289308176,Converted,Converted,100.0
6655972.81857143,0.3392857142857143,Converted,Converted,100.0
6655972.81857143,0.2241694048922965,Converted,Converted,100.0
6655972.81857143,0.3568131852808981,Not Converted,Not Converted,100.0
6655972.81857143,0.1913580246913579,Converted,Converted,100.0
6655972.81857143,0.2711299503562228,Not Converted,Not Converted,99.0
6655972.81857143,0.2530159159916619,Not Converted,Converted,88.0
6655972.81857143,0.1897959183673468,Converted,Converted,100.0
6655972.81857143,0.3330645161290323,Converted,Converted,91.0
6655972.81857143,0.2967032967032966,Converted,Converted,100.0
6655972.81857143,0.333482027694322,Not Converted,Converted,100.0
197553.81662162163,0.2084210526315789,Converted,Converted,100.0
6655972.81857143,0.2924528301886793,Converted,Converted,100.0
6655972.81857143,0.2064996451925722,Not Converted,Not Converted,61.0
6655972.81857143,0.3032679738562092,Converted,Converted,100.0
6655972.81857143,0.3007142857142857,Converted,Converted,100.0
6655972.81857143,0.1902408894379245,Converted,Converted,100.0
6655972.81857143,0.2272328078207329,Not Converted,Not Converted,100.0
197553.81662162163,0.2889531303455355,Not Converted,Converted,100.0
6655972.81857143,0.1899927483683829,Converted,Converted,100.0
6655972.81857143,0.3659126867072483,Not Converted,Not Converted,100.0
197553.81662162163,0.2383324506216037,Not Converted,Converted,68.0
6655972.81857143,0.1912591343451377,Converted,Converted,63.0
6655972.81857143,0.2188099808061419,Converted,Converted,100.0
6655972.81857143,0.22,Converted,Converted,99.25564348919426
6655972.81857143,0.3158650394831298,Converted,Converted,70.0
6655972.81857143,0.2064482579303171,Converted,Converted,100.0
6655972.81857143,0.2999999999999999,Converted,Converted,95.64125904548762
197553.81662162163,0.1780558229066409,Converted,Converted,100.0
6655972.81857143,0.2500000000000001,Converted,Converted,99.5443548270537
6655972.81857143,0.1785260482846251,Converted,Converted,100.0
6655972.81857143,0.3055025678650035,Converted,Converted,100.0
6655972.81857143,0.3528225806451613,Converted,Converted,100.0
6655972.81857143,0.2601419878296147,Converted,Converted,100.0
6655972.81857143,0.1993517017828255,Converted,Converted,100.0
6655972.81857143,0.1923575129533679,Converted,Converted,100.0
6655972.81857143,0.3300881435509324,Not Converted,Not Converted,99.0
6655972.81857143,0.1900687333426847,Converted,Converted,100.0
6655972.81857143,0.3513007448267092,Not Converted,Not Converted,100.0
6655972.81857143,0.2827580404899456,Not Converted,Not Converted,100.0
6655972.81857143,0.2699890470974808,Converted,Converted,100.0
6655972.81857143,0.3565747992402221,Not Converted,Not Converted,100.0
6655972.81857143,0.2195540308747856,Converted,Converted,100.0
6655972.81857143,0.3562555456965395,Converted,Converted,100.0
6655972.81857143,0.2771126760563382,Converted,Converted,100.0
6655972.81857143,0.2747002106384839,Not Converted,Converted,92.0
6655972.81857143,0.3353203785186637,Not Converted,Not Converted,99.0
6655972.81857143,0.2615450708353112,Not Converted,Converted,100.0
6655972.81857143,0.2778444312193951,Not Converted,Converted,55.00000000000001
6655972.81857143,0.2792607802874743,Converted,Converted,100.0
6655972.81857143,0.2766798418972333,Converted,Converted,100.0
6655972.81857143,0.176522506619594,Converted,Converted,100.0
6655972.81857143,0.3677252942124778,Converted,Converted,100.0
6655972.81857143,0.2861445783132529,Converted,Converted,100.0
6655972.81857143,0.3621699522209297,Not Converted,Not Converted,100.0
6655972.81857143,0.1726057245834725,Not Converted,Not Converted,100.0
6655972.81857143,0.1781305114638447,Converted,Converted,100.0
6655972.81857143,0.3672131147540984,Not Converted,Converted,90.0
6655972.81857143,0.1899681308022723,Converted,Converted,100.0
6655972.81857143,0.2320601013274158,Not Converted,Not Converted,95.0
6655972.81857143,0.2487150917553245,Not Converted,Converted,93.0
6655972.81857143,0.1851239669421488,Converted,Converted,100.0
197553.81662162163,0.1778642149929279,Converted,Converted,100.0
6655972.81857143,0.2771126760563382,Converted,Converted,100.0
197553.81662162163,0.3550201183431953,Not Converted,Not Converted,75.0
6655972.81857143,0.2505873823027733,Not Converted,Converted,64.0
6655972.81857143,0.3170438881230825,Converted,Converted,100.0
6655972.81857143,0.3099776454789342,Not Converted,Converted,100.0
197553.81662162163,0.3589129510633649,Not Converted,Converted,100.0
6655972.81857143,0.2466100247446092,Not Converted,Not Converted,100.0
6655972.81857143,0.1765350877192986,Converted,Converted,100.0
6655972.81857143,0.1899681308022723,Converted,Converted,100.0
6655972.81857143,0.3207786407969911,Not Converted,Not Converted,100.0
6655972.81857143,0.3468097580975942,Not Converted,Not Converted,100.0
6655972.81857143,0.3099467140319716,Converted,Converted,100.0
6655972.81857143,0.1900656814449917,Converted,Converted,100.0
6655972.81857143,0.1778083944743575,Not Converted,Not Converted,79.0
6655972.81857143,0.2847810357550149,Not Converted,Not Converted,100.0
6655972.81857143,0.1765335235378032,Converted,Converted,100.0
6655972.81857143,0.1915145969285519,Not Converted,Not Converted,100.0
6655972.81857143,0.1997494767866861,Not Converted,Not Converted,100.0
6655972.81857143,0.333624254234638,Not Converted,Converted,100.0
6655972.81857143,0.305407651855111,Not Converted,Converted,57.99999999999999
6655972.81857143,0.1951384199864963,Converted,Converted,100.0
6655972.81857143,0.1900393184796854,Converted,Converted,100.0
6655972.81857143,0.3191176470588237,Converted,Not Converted,100.0
6655972.81857143,0.2967032967032966,Converted,Converted,100.0
6655972.81857143,0.3224489795918366,Converted,Converted,100.0
6655972.81857143,0.1900687333426847,Converted,Converted,100.0
6655972.81857143,0.3668150031786396,Converted,Converted,100.0
6655972.81857143,0.1781305114638447,Converted,Converted,100.0
6655972.81857143,0.3085052974558813,Not Converted,Not Converted,100.0
6655972.81857143,0.3279825799617801,Not Converted,Not Converted,100.0
6655972.81857143,0.2872473623651347,Not Converted,Not Converted,65.0
6655972.81857143,0.2489348752282409,Converted,Converted,66.0
6655972.81857143,0.3446045978307862,Not Converted,Not Converted,100.0
